车型信息,动力,车种,6月车型销量,车型,垫类总额月销量,垫类总额月销售额,后备箱垫+椅背垫月销量,后备箱垫+椅背垫月销售额,后备箱垫+脚垫月销量,后备箱垫+脚垫月销售额,后备箱垫+椅背垫+脚垫月销量,后备箱垫+椅背垫+脚垫月销售额,后备箱垫单品月销量,后备箱垫单品月销售额,脚垫单品月销量,脚垫单品月销售额,椅背垫单品月销量,椅背垫单品月销售额
英菲尼迪 Infiniti QX60 (JX),ICE,SUV-E,2719, QX60,686,62655,0,0,45,4362,0,0,20,1841,619,56214,0,0
雪佛兰 Blazer,ICE,SUV-D,6290, Blazer,474,62153,0,0,162,27597,17,3890,54,5378,241,25288,0,0
别克 Enclave,ICE,SUV-D,3547, Enclave,375,60773,0,0,33,7112,0,0,20,2118,322,51543,0,0
Tesla Model S,EV,Car-E,1700, Model S,446,60420,0,0,85,15333,0,0,105,8819,254,35787,0,0
雪佛兰 Camaro,ICE,Car-D,3207, Camaro,435,57434,0,0,14,1419,0,0,9,905,412,55110,0,0
梅赛德斯-奔驰  GLE-Class (M-Class/ML-Class),ICE,SUV-E,4543, GLE,726,56875,0,0,184,14701,0,0,268,17782,271,23797,0,0
日产 Frontier (Navara),ICE,Pickup Truck,5072, Frontier,511,55741,0,0,0,0,0,0,0,0,511,55741,0,0
克莱斯勒  Chrysler 300 series (Chrysler ),ICE,Car-E,1635, Chrysler 300,514,55251,0,0,35,2410,0,0,12,1439,466,51263,0,0
日产 Sentra,ICE,Car-C,12720, Sentra,537,54584,0,0,21,2931,0,0,1,105,515,51548,0,0
三菱 Outlander,ICE,SUV-D,3936, Outlander,451,53870,12,1438,18,3998,0,0,47,3918,356,42374,0,0
马自达 CX-9,ICE,SUV-D,863, CX-9,369,51373,14,1259,23,2137,0,0,61,5036,271,42941,0,0
斯巴鲁 Impreza,ICE,Car-C,2954, Impreza,564,51315,51,4737,11,1787,0,0,60,3465,352,40206,0,0
起亚 Soul,ICE,Car-C,5202, Soul,500,47301,0,0,33,4591,0,0,80,4787,387,37923,0,0
起亚 Kia Forte,ICE,Car-C,10330, Kia Forte,388,47251,0,0,83,7305,0,0,0,0,298,38554,0,0
Porsche  Macan,ICE,SUV-D,2784, Macan,298,46176,4,279,9,601,0,0,77,14576,208,30720,0,0
Ram  ProMaster,ICE,van,8131, ProMaster,411,45532,0,0,24,6959,0,0,4,1548,376,36011,0,0
别克 Encore GX,ICE,SUV-C,6316, Encore,398,44137,0,0,70,12674,0,0,34,2367,294,29096,0,0
讴歌 Acura RDX,ICE,SUV-D,3502, Acura RDX,427,43760,0,0,67,6187,0,0,140,8869,214,27511,0,0
雷克萨斯 Lexus NX,ICE,SUV-D,5974, Lexus NX,488,43103,34,2378,51,6194,0,0,53,3580,350,30951,0,0
吉普  Wagoneer (Jeep ),ICE,SUV-E,3015, Wagoneer,254,43005,2,179,36,7657,0,0,40,3572,148,25185,0,0
雪佛兰 Chevrolet Bolt EUV,EV,SUV-C,3318, Chevrolet Bolt,305,42886,19,1519,22,2882,0,0,23,2060,239,36028,0,0
宝马 3 Series,ICE,Car-D,2437, 3 Series,419,41258,0,0,6,653,0,0,13,687,400,39918,0,0
梅赛德斯-奔驰 (2022-),未知动力,Van,6180, Sprinter,319,40653,0,0,55,6704,0,0,0,0,127,18011,0,0
奥迪 Audi Q5,ICE,SUV-D,5695, Audi Q5,515,40587,0,0,153,11216,0,0,177,10686,185,18685,0,0
雪佛兰 Trax (Tracker),ICE,SUV-B,9719, Trax,360,40511,0,0,62,11186,0,0,6,719,292,28606,0,0
日产 Armada,ICE,SUV-D,1798, Armada,277,40503,0,0,54,5770,0,0,10,599,213,34134,0,0
大众 VW Atlas,ICE,SUV-D,7863, Atlas,326,40169,0,0,47,6091,0,0,9,941,269,32939,0,0
Lincoln Lincoln Navigator,ICE,SUV-E,1674, Lincoln Navigator,331,39575,70,6998,69,12049,0,0,60,5392,90,10039,0,0
起亚 K5,ICE,Car-D,6072, K5,397,39474,0,0,41,6173,0,0,33,2177,314,29335,0,0
马自达 CX-30,ICE,SUV-C,6612, CX-30,454,39455,8,778,47,5463,0,0,60,5009,328,26018,0,0
路虎  Range Rover (Land Rover ),ICE,SUV-E,1432, Range Rover,261,39203,0,0,17,2039,0,0,27,2023,200,31135,0,0
Cadillac Cadillac XT5,ICE,SUV-D,1985, Cadillac XT5,313,39198,4,439,29,3041,0,0,27,1949,253,33769,0,0
本田 Passport,ICE,SUV-D,3710, Passport,349,38434,0,0,17,3743,0,0,73,7933,213,25563,0,0
吉普  Renegade,ICE,SUV-B,1515, Renegade,411,37702,0,0,73,9999,0,0,146,7559,189,19623,0,0
马自达 CX-50,ICE,SUV-D,3532, CX-50,363,36427,6,419,28,4767,0,0,58,3910,258,24746,0,0
英菲尼迪 Infiniti QX80 (QX56),ICE,SUV-E,1019, Infiniti QX80,230,35190,0,0,0,0,0,0,10,599,220,34591,0,0
日产 Kicks,ICE,SUV-C,5955, Kicks,353,34987,5,339,126,16528,0,0,48,2825,145,14632,0,0
宝马 BMW X7,ICE,SUV-E,2561, BMW X7,247,34919,0,0,0,0,0,0,157,17036,54,7821,0,0
日产 Murano,ICE,SUV-D,2910, Murano,510,34800,0,0,38,4762,0,0,46,2729,250,24372,0,0
丰田 Corolla Cross,ICE,SUV-C,5373, Corolla Cross,327,33495,23,1609,142,12563,0,0,14,1588,148,17735,0,0
起亚 EV6,EV,SUV-D,1458, EV6,296,32412,1,52,83,15390,0,0,37,2599,72,8403,103,5968
起亚 NIRO,HV,SUV-C,2892, NIRO,273,31953,0,0,56,8401,0,0,12,746,205,22806,0,0
雷克萨斯 Lexus RX,ICE,SUV-E,10274, Lexus RX,304,31316,0,0,85,5795,0,0,40,4029,179,21492,0,0
宝马 X1,ICE,SUV-C,1370, X1,496,30399,0,0,143,8465,0,0,0,0,353,21934,0,0
马自达,ICE,Car-C,2745, Mazda 3,371,30281,0,0,2,492,0,0,6,549,362,29042,0,0
本田,ICE,Car-B,停产, Honda Fit,311,29070,0,0,0,0,0,0,3,359,308,28711,0,0
大众 Jetta,ICE,Car-C,4587, Jetta,341,29047,0,0,2,179,0,0,2,239,337,28629,0,0
大众 Tiguan,ICE,SUV-C,4683, Tiguan,263,28362,0,0,29,3235,0,0,57,4223,170,19512,0,0
大众 ID.4,EV,SUV-C,2836, ID.4,253,27962,0,0,45,6326,0,0,48,2919,160,18717,0,0
斯巴鲁 Ascent,ICE,SUV-D,5889, Ascent,202,27757,0,0,2,178,4,759,80,7633,97,13877,0,0
现代 Kona,ICE,SUV-C,4791, Kona,242,27628,0,0,37,3913,0,0,28,1533,170,20790,0,0
日产 Nissan Titan,ICE,Pickup Truck,2455, Titan,228,27566,0,0,1,110,0,0,0,0,227,27456,0,0
马自达,PHV,SUV-D,2291, CX-90,154,27551,0,0,3,599,0,0,25,1808,126,25144,0,0
Porsche  Cayenne,ICE,SUV-E,1591, Cayenne,206,27481,0,0,7,481,0,0,56,6576,143,20424,0,0
现代 Santa Cruz,ICE,Pickup Truck,3627, Santa Cruz,230,26363,0,0,0,0,0,0,41,3307,183,21863,0,0
福特,ICE,SUV-C,停产, Focus,234,25376,0,0,0,0,0,0,0,0,234,25376,0,0
未知品牌车型,未知动力,未知车种,未知销量, R1S,312,25147,0,0,0,0,0,0,271,18185,4,1043,0,0
未知品牌车型,未知动力,未知车种,未知销量, Audi Q7,250,24808,8,639,24,3214,0,0,107,6899,111,14056,0,0
宝马 iX,EV,SUV-D,1415, iX,379,24534,0,0,161,11535,0,0,0,0,218,12999,0,0
未知品牌车型,未知动力,未知车种,未知销量, X2,451,24525,0,0,125,5936,0,0,1,60,325,18529,0,0
未知品牌车型,未知动力,未知车种,未知销量, Optima,217,24251,0,0,0,0,0,0,0,0,217,24251,0,0
未知品牌车型,未知动力,未知车种,未知销量, Cruze,281,24138,0,0,0,0,0,0,5,434,276,23704,0,0
雪佛兰 Malibu,ICE,Car-D,14020, Malibu,216,21385,0,0,0,0,0,0,11,714,205,20671,0,0
未知品牌车型,未知动力,未知车种,未知销量, Grand Wagoneer,115,20209,2,179,25,4748,0,0,20,1800,40,7070,0,0
别克 Envision,ICE,SUV-C,4192, Envision,193,19876,0,0,34,5918,0,0,72,5286,87,8672,0,0
沃尔沃汽车  XC60 (Volvo Cars ),ICE,SUV-D,3300, XC60,242,19664,0,0,2,170,0,0,97,5841,139,12858,0,0
未知品牌车型,未知动力,未知车种,未知销量, Cascadia,190,19222,0,0,14,1461,0,0,0,0,176,17761,0,0
Rivian R1T,EV,Pickup Truck,3436, R1T,277,19082,0,0,5,467,0,0,264,17181,8,1434,0,0
未知品牌车型,未知动力,未知车种,未知销量, Z4,394,18954,0,0,123,5757,0,0,10,649,261,12548,0,0
斯巴鲁 XV,ICE,SUV-C,13788, XV,173,18858,35,3778,16,920,0,0,0,0,120,13763,0,0
Genesis Genesis GV70,ICE,SUV-D,1745, Genesis GV70,178,18822,0,0,28,4233,0,0,42,2173,99,10626,0,0
福特 Mustang Mach-E,EV,SUV-D,4110, Mustang Mach-E,168,17884,0,0,0,0,11,2198,32,2082,105,13212,1,45
Ram  ProMaster City,ICE,van,1222, ProMaster City,164,17698,0,0,24,6959,0,0,0,0,140,10739,0,0
未知品牌车型,未知动力,未知车种,未知销量, Cooper,278,17560,0,0,27,1415,0,0,0,0,251,16145,0,0
未知品牌车型,未知动力,未知车种,未知销量, Sequoia,298,17403,0,0,2,267,0,0,159,1789,136,15238,0,0
梅赛德斯-奔驰  EQS SUV,EV,SUV-E,1015, EQS,243,17264,0,0,175,13013,0,0,31,1806,37,2445,0,0
雪佛兰 Chevrolet Bolt EUV,EV,SUV-C,3318, Bolt EUV,125,16996,0,0,19,2537,0,0,20,1749,86,12710,0,0
未知品牌车型,未知动力,未知车种,未知销量, Range Rover Sport,102,15785,0,0,10,1293,0,0,9,539,82,13681,0,0
未知品牌车型,未知动力,未知车种,未知销量, E-150,188,15319,0,0,0,0,0,0,0,0,188,15319,0,0
未知品牌车型,未知动力,未知车种,未知销量, Insight,120,15071,0,0,0,0,0,0,0,0,119,14873,0,0
宝马 4 Series,ICE,Car-D,2136, 4 Series,295,14624,0,0,0,0,0,0,0,0,295,14624,0,0
未知品牌车型,未知动力,未知车种,未知销量, Patriot,136,14596,0,0,16,2394,0,0,36,2572,84,9630,0,0
斯巴鲁 WRX,ICE,Car-C,2326, WRX,124,14194,0,0,11,800,0,0,11,741,102,12653,0,0
